广东频道,#genre#
player=2
CCTV1,http://45.192.97.170:8880/play/2164.m3u8
CCTV1,http://45.192.97.170:8880/play/2180.m3u8
CCTV1,http://45.192.97.170:8880/play/2357.m3u8
CCTV1,http://45.192.97.170:8880/play/2358.m3u8
CCTV1,http://45.192.97.170:8880/play/2559.m3u8
CCTV1,http://45.192.97.170:8880/play/2629.m3u8
CCTV1,http://45.192.97.170:8880/play/2665.m3u8
CCTV1,http://45.192.97.170:8880/play/2723.m3u8
CCTV1,http://45.192.97.170:8880/play/2765.m3u8
CCTV1,http://45.192.97.170:8880/play/3002.m3u8
CCTV1,http://45.192.97.170:8880/play/3274.m3u8
CCTV1,http://45.192.97.170:8880/play/3337.m3u8
CCTV1,http://45.192.97.170:8880/play/3411.m3u8
CCTV1,http://45.192.97.170:8880/play/3563.m3u8
CCTV1,http://45.192.97.170:8880/play/3694.m3u8
CCTV1,http://45.192.97.170:8880/play/3904.m3u8
CCTV1,http://45.192.97.170:8880/play/4023.m3u8
CCTV1,http://45.192.97.170:8880/play/4147.m3u8
CCTV1,http://45.192.97.170:8880/play/4275.m3u8
CCTV2,http://47.120.5.28:1234/631780532
CCTV2,http://223.83.177.142:1234/631780532
CCTV2,http://45.192.97.170:8880/play/2.m3u8
CCTV2,http://45.192.97.170:8880/play/303.m3u8
CCTV2,http://45.192.97.170:8880/play/364.m3u8
CCTV2,http://45.192.97.170:8880/play/428.m3u8
CCTV2,http://45.192.97.170:8880/play/468.m3u8
CCTV2,http://45.192.97.170:8880/play/492.m3u8
CCTV2,http://45.192.97.170:8880/play/557.m3u8
CCTV2,http://45.192.97.170:8880/play/582.m3u8
CCTV2,http://45.192.97.170:8880/play/671.m3u8
CCTV2,http://45.192.97.170:8880/play/704.m3u8
CCTV2,http://45.192.97.170:8880/play/745.m3u8
CCTV2,http://45.192.97.170:8880/play/795.m3u8
CCTV2,http://45.192.97.170:8880/play/837.m3u8
CCTV2,http://45.192.97.170:8880/play/879.m3u8
CCTV2,http://45.192.97.170:8880/play/926.m3u8
CCTV2,http://45.192.97.170:8880/play/977.m3u8
CCTV2,http://45.192.97.170:8880/play/978.m3u8
CCTV2,http://45.192.97.170:8880/play/1052.m3u8
CCTV2,http://45.192.97.170:8880/play/2165.m3u8
CCTV2,http://45.192.97.170:8880/play/2181.m3u8
CCTV2,http://45.192.97.170:8880/play/2359.m3u8
CCTV2,http://45.192.97.170:8880/play/2360.m3u8
CCTV2,http://45.192.97.170:8880/play/2560.m3u8
CCTV2,http://45.192.97.170:8880/play/2630.m3u8
CCTV2,http://45.192.97.170:8880/play/2666.m3u8
CCTV2,http://45.192.97.170:8880/play/2724.m3u8
CCTV2,http://45.192.97.170:8880/play/2766.m3u8
CCTV2,http://45.192.97.170:8880/play/3003.m3u8
CCTV2,http://45.192.97.170:8880/play/3275.m3u8
CCTV2,http://45.192.97.170:8880/play/3338.m3u8
CCTV2,http://45.192.97.170:8880/play/3412.m3u8
CCTV2,http://45.192.97.170:8880/play/3564.m3u8
CCTV2,http://45.192.97.170:8880/play/3695.m3u8
CCTV2,http://45.192.97.170:8880/play/3905.m3u8
CCTV2,http://45.192.97.170:8880/play/4024.m3u8
CCTV2,http://45.192.97.170:8880/play/4148.m3u8
CCTV2,http://45.192.97.170:8880/play/4276.m3u8
CCTV3,http://47.120.5.28:1234/624878271
CCTV3,http://223.83.177.142:1234/624878271
CCTV3,http://45.192.97.170:8880/play/3.m3u8
CCTV3,http://45.192.97.170:8880/play/304.m3u8
CCTV3,http://45.192.97.170:8880/play/365.m3u8
CCTV3,http://45.192.97.170:8880/play/429.m3u8
CCTV3,http://45.192.97.170:8880/play/469.m3u8
CCTV3,http://45.192.97.170:8880/play/493.m3u8
CCTV3,http://45.192.97.170:8880/play/558.m3u8
CCTV3,http://45.192.97.170:8880/play/583.m3u8
CCTV3,http://45.192.97.170:8880/play/672.m3u8
CCTV3,http://45.192.97.170:8880/play/705.m3u8
CCTV3,http://45.192.97.170:8880/play/746.m3u8
CCTV3,http://45.192.97.170:8880/play/796.m3u8
CCTV3,http://45.192.97.170:8880/play/838.m3u8
CCTV3,http://45.192.97.170:8880/play/880.m3u8
CCTV3,http://45.192.97.170:8880/play/927.m3u8
CCTV3,http://45.192.97.170:8880/play/979.m3u8
CCTV3,http://45.192.97.170:8880/play/980.m3u8
CCTV3,http://45.192.97.170:8880/play/1053.m3u8
CCTV3,http://45.192.97.170:8880/play/2166.m3u8
